"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDOST",571.138510437782,-0.620953581408241,0.119416253832037,-5.19990840008793,1.99386763806123e-07,3.45723573897928e-05
"WDR61",216.015932846326,-0.763244741941632,0.146879946259708,-5.19638494823583,2.03201263030138e-07,3.4693718209608e-05
"PFKL",2791.8944562252,-0.688720895736891,0.132542330007051,-5.19623350291378,2.03366789164763e-07,3.4693718209608e-05
"PALLD",1167.79450467393,1.08673759066087,0.209213767685678,5.19438850837761,2.0539381778144e-07,3.47592065707886e-05
"TMEM208",129.155930027069,-0.659057349850834,0.127005993516294,-5.18918305824899,2.11218677270594e-07,3.54612690395409e-05
"C16orf71",67.4627627958093,1.56752821738102,0.302375036486287,5.18405300780214,2.17115182194952e-07,3.58816762824376e-05
"SEC23B",601.749867618067,-0.800666202238453,0.154415696363718,-5.18513480878605,2.15858668847977e-07,3.58816762824376e-05
"SDHAF1",167.69674650241,-0.866344369742692,0.167408518590801,-5.17503157566497,2.27872440377182e-07,3.73675473158055e-05
"EMC1",1169.20289564231,-0.453276123476239,0.0877861219292773,-5.16341437022824,2.42485534595942e-07,3.91657692427375e-05
"SAMD4A",1668.73963373184,0.970403935053271,0.187939981475974,5.16337145205755,2.4254116341111e-07,3.91657692427375e-05
"SNORA73B",5061.05736322278,1.05031377382015,0.203572997639639,5.15939631482658,2.47747380792158e-07,3.97033946460402e-05
"ZNF81",330.591775596256,0.504142006646767,0.097861266330366,5.15159904987182,2.58274754146523e-07,4.10792793174102e-05
"ARPC4",614.267568870468,-0.47407762119463,0.0920649667209601,-5.14938133450385,2.61347056949653e-07,4.12018776385098e-05
"STMN4",2511.31773658033,-1.52633419239552,0.296476852607377,-5.14824067704481,2.62940979540457e-07,4.12018776385098e-05
"EIF4A3",352.791287692437,-0.688906545549815,0.133857143873235,-5.1465803439092,2.65277874057512e-07,4.12624128515633e-05
"ZNF852",73.6669520921682,1.17063516674001,0.227550138382388,5.14451529259373,2.68212405023606e-07,4.14143446413822e-05
"STX18",198.453792156228,-0.497787777047794,0.0968161119325772,-5.14157992002875,2.72437718214649e-07,4.14614927418178e-05
"TUBB1",51.1776036793929,1.20921995488593,0.235130527617012,5.14276035162708,2.70730877779863e-07,4.14614927418178e-05
"MTSS1L",13077.068792013,1.03057743342223,0.200846288589758,5.13117489328994,2.87939210571693e-07,4.35076147173828e-05
"NAT6",106.568822376196,-0.818439225150515,0.159600734802774,-5.12804171084736,2.92771585911902e-07,4.39240434636906e-05
"NAALAD2",193.977455562166,0.815636087975763,0.159168254406315,5.12436409520241,2.98543593574345e-07,4.44745857638852e-05
"PSMD13",518.600751990312,-0.791774671153696,0.154819600731799,-5.11417590157285,3.15113615024608e-07,4.61324943632295e-05
"GPD1",141.40494264052,-2.07908029255989,0.40651836769521,-5.11435757342874,3.14810516117333e-07,4.61324943632295e-05
"NLRC3",179.1511538797,1.14293363712391,0.22351223171823,5.11351718130911,3.16214979799011e-07,4.61324943632295e-05
"ACLY",1393.03907132061,-0.753096514155021,0.147316539373577,-5.11209751028198,3.18601286870817e-07,4.61622713867484e-05
"RAD52",353.464629831114,0.810794614439105,0.158662661985465,5.11017906981405,3.21853606090013e-07,4.63162665525724e-05
"MRPL20",287.910645402564,-0.534202919103787,0.104610109963701,-5.10660890509674,3.27991610666215e-07,4.68806387299535e-05
"KIF1BP",683.487064080455,-0.752902267959654,0.147657006816907,-5.09899451566997,3.41462443905382e-07,4.84785002575466e-05
"REP15",20.01497792432,1.88530546590574,0.369946415146151,5.09615822378204,3.46615462528069e-07,4.88820232954585e-05
"GPAA1",847.893219982399,-0.512617925566536,0.100887377064586,-5.08109082108822,3.75273632260992e-07,5.14414595218261e-05
"FOXRED1",384.622613725533,-0.481339610559572,0.0947018979302977,-5.08268177385258,3.72142888145277e-07,5.14414595218261e-05
"TBL3",425.93161845083,-0.628857849868218,0.123770885988097,-5.08082207578843,3.75804983970273e-07,5.14414595218261e-05
"GAS7",10581.4211236594,-0.96424944184834,0.189636953657552,-5.08471278013455,3.68182801722594e-07,5.14414595218261e-05
"MRPL38",480.003300508533,-0.459580670986576,0.0904640438250204,-5.08025787433865,3.76922862148201e-07,5.14414595218261e-05
"C20orf173",14.5845147078839,2.04190751805176,0.402119584685317,5.07786140197492,3.81706969914124e-07,5.17604438561756e-05
"PSMD6-AS2",82.3532026177853,0.950915939996763,0.187325297719705,5.07628148238483,3.84892977272677e-07,5.18600384791478e-05
"EMC7",261.004186535488,-0.743824442089246,0.1466702583654,-5.07140609404364,3.94887108852646e-07,5.25712726963489e-05
"AFG3L2",543.829926492785,-0.7096117902402,0.139927458465285,-5.07128334940958,3.95141928652712e-07,5.25712726963489e-05
"ECHS1",797.378121878889,-0.52199266603042,0.10302984930621,-5.06642171706018,4.05363341079089e-07,5.3594100732419e-05
"CNTFR-AS1",19.9077135506284,2.07471215164238,0.410387619118834,5.05549401343323,4.29278095131406e-07,5.53716391732302e-05
"C11orf58",711.780856754569,-0.695020536945458,0.13746256144836,-5.05607148319112,4.27980969527816e-07,5.53716391732302e-05
"PROX2",72.7972539335357,0.971505408353293,0.192118934208053,5.05679157735287,4.26368774646904e-07,5.53716391732302e-05
"ZNF808",313.608396935711,0.548561685510621,0.108464697385253,5.05751363102227,4.24758076527344e-07,5.53716391732302e-05
"SLC35B1",203.085367653824,-0.696548378606762,0.137963998869645,-5.04876913045188,4.44665714222879e-07,5.70088395070957e-05
"FAM106B",17.7686185442139,1.43254584649467,0.284005683415849,5.04407457366653,4.55721552337832e-07,5.80742995069548e-05
"DNTTIP1",151.310739694117,-0.56145512872639,0.111339529909704,-5.04272947067164,4.58937878147374e-07,5.81339633193386e-05
"CDC42P3",12.472284418741,2.28725918407019,0.45427180410937,5.03500143169686,4.77845261900422e-07,6.01686825609615e-05
"C8orf46",1767.95173032138,-0.888990561836726,0.176762189503673,-5.02930272776607,4.92266667580449e-07,6.16178052425847e-05
"RNF181",200.858217764762,-0.731184923585761,0.146079486215085,-5.00539084939808,5.5748795956987e-07,6.93711782161237e-05
"TRAF3IP2-AS1",312.237332518665,0.611107583735806,0.122184196378023,5.00152721752259,5.68779351351475e-07,7.03623298157257e-05
"PSAP",15901.8650266811,-0.62600444956351,0.125308495911572,-4.99570635661662,5.86208017819274e-07,7.1877694666687e-05
"PYGM",398.136795016547,1.77494713062386,0.355332326282006,4.99517493720848,5.87824580568065e-07,7.1877694666687e-05
"FGFRL1",892.420573819135,1.2513460822307,0.250706722876149,4.9912745373361,5.99821702910924e-07,7.29231511688372e-05
