"gene","kME"
"SLC16A9",0.434354560152506
"CD209",0.432329817335305
"COL8A1",0.429760601144876
"INHBA",0.417492142299779
"UNCX",0.415003033975818
"SNORD68",0.412537177590429
"PMAIP1",0.410252514728664
"COL3A1",0.40939289931221
"IGLL3P",0.401040266367793
"CYP2A7",0.398528215406889
"TLX3",0.39803440058383
"LOC100507616",0.397822354076094
"IGF2",0.397216196433404
"LOC102723471",0.396788672216876
"PLA1A",0.389956974687284
"HMCN1",0.383571221383021
"TFCP2L1",0.381469115962799
"POLR2J3",0.378851665299346
"IL32",0.378169965247598
"LINGO4",0.376728653734672
"ATE1-AS1",0.376546769523205
"FUT6",0.375463081757777
"KBTBD13",0.374520815613599
"MT1HL1",0.373822294820613
"SLC16A12",0.372026390673949
"COL1A1",0.369091247131274
"MXRA5",0.362266922964654
"UNQ6494",0.361614011125399
"MISP",0.360253945951526
"NLRP4",0.354613593127805
"PKHD1L1",0.351405666420831
"ACKR1",0.347737810087567
"CLDN2",0.346787898485799
"ADM2",0.345721162694113
"C5orf38",0.344999433173393
"FEZF1-AS1",0.3417543931575
"SIX2",0.337361373894741
"OTOP3",0.33362731988198
"CYP2A6",0.33117183200511
"RERGL",0.326900872899569
"CFH",0.311705613825619
"ANGPT2",0.310886854196168
"FCGR3B",0.294949372395408
"SPTA1",0.284713768060661
