"TF","mean_AD","mean_Old","mean_Young","diff_AD_vs_Old","diff_AD_vs_Young","pval_AD_vs_Old","pval_AD_vs_Young","padj_AD_vs_Old","padj_AD_vs_Young"
"FOSL2",6.74274964700631,6.60087169464334,6.70907931531926,0.141877952362973,0.0336703316870484,0.850213316220827,0.963666759714876,0.931517834729908,0.993111243103463
"EPAS1",13.4891486583566,13.511243913132,13.3614369323835,-0.022095254775337,0.127711725973118,0.854350676823288,0.33428436272486,0.931517834729908,0.612353172240013
"STAT4",3.39584262231969,3.3197635494026,3.47784018022909,0.076079072917087,-0.0819975579094065,0.871445936057325,0.845107983171793,0.933012173050223,0.937432437149779
"STAT6",1.45566550543963,1.39284334851037,1.29889257704173,0.0628221569292522,0.156772928397896,0.872705023462741,0.580752274067035,0.933012173050223,0.791509147720395
"ERG",6.96666977690761,7.08092154103088,6.67096416852681,-0.114251764123269,0.295705608380797,0.873829338609743,0.7055586467831,0.933012173050223,0.870360666469664
"ZNF263",16.6752729741604,16.6542169366838,16.3091856504655,0.0210560374766118,0.366087323694831,0.878952791468163,0.0641571470195668,0.933012173050223,0.309787367037337
"MYCN",6.91694289496603,6.989679825168,7.4219786535735,-0.0727369302019705,-0.505035758607467,0.883325134248732,0.364618601247754,0.933012173050223,0.619479487132302
"STAT5B",1.30082906041011,1.37471431712709,0.532416684625309,-0.0738852567169765,0.7684123757848,0.891213249099957,0.059817948615505,0.935497137253993,0.307768794936667
"CEBPA",14.4324835775571,14.4267771150653,14.3675506246302,0.00570646249179418,0.0649329529269167,0.915608832219821,0.186465029523879,0.955172176821912,0.484809076762085
"TFAP2C",15.9821090837444,15.9768180403513,15.7290361712619,0.00529104339308972,0.25307291248251,0.930678280356932,0.0443513745401815,0.96493637656639,0.307768794936667
"GATA2",14.7663344093901,14.7625803737071,14.6729322875257,0.00375403568298616,0.0934021218643526,0.941371801061311,0.167391848902153,0.967381481167285,0.469853193365137
"GLI2",0.297760158898297,0.28916530059246,0.116668502343313,0.00859485830583651,0.181091656554984,0.944484878062734,0.0240195345977441,0.967381481167285,0.289950096215625
"SMAD1",9.27759304104441,9.22083248217635,8.93790333506829,0.0567605588680635,0.339689705976122,0.97095192469581,0.783632857342468,0.987644717594215,0.91333760614398
"ETS1",14.1636450045666,14.161277438039,14.038257123261,0.00236756652763681,0.125387881305642,0.978692055381515,0.0318897972684471,0.987644717594215,0.307768794936667
"PRDM14",15.5616769945702,15.5587450565309,15.1989150801793,0.00293193803934422,0.362761914390918,0.981800666010817,0.0461249715086866,0.987644717594215,0.307768794936667
"KLF4",0.633822091108808,0.633012049789243,0.647123241799823,0.000810041319564858,-0.0133011506910145,0.996701264576692,0.949491955689102,0.996701264576692,0.993111243103463
